Distance_Centroid,Rad_max,Rad_out,sel_insideEddy
15.4961480726184,42.734430172304,66.7661859398623,1
13.2242031406331,42.734430172304,66.7661859398623,1
11.6210617904367,42.734430172304,66.7661859398623,1
10.4609890328442,42.734430172304,66.7661859398623,1
10.1411353401277,42.8735147383704,69.9937885035579,1
10.030897428669,42.8735147383704,69.9937885035579,1
17.8405157229916,41.0066895198886,70.1335897550966,1
10.0646381440979,74.2860311073082,80.5555081532353,1
28.4086080421095,65.9652916574046,73.720036819095,1
10.4062063002296,74.205656368045,80.3396694567327,1
33.4203730464862,71.416638923754,88.75227643645,1
15.5355450942596,72.342774870518,96.8238967342743,1
34.1964743769439,69.2517293043761,102.694468246183,1
14.9133300976911,82.7982732327423,107.563029877811,1
42.6958437306254,89.8177855305454,106.308437677068,1
19.3520339901211,85.5564816357192,108.398905167744,1
23.1240112352311,94.2879437305115,113.181013336254,1
19.2163348706132,78.9727204844434,125.487051556541,1
3.36956486361746,78.0722901024038,132.528054267179,1
26.9513336914302,85.0838696763593,131.85565240002,1
34.677898942582,90.5935919835579,139.176898655925,1
5.83002909062898,95.5471860061789,140.530267575702,1
38.8199216562933,92.9965305587363,134.144836014316,1
5.04645083181545,79.1686139462391,128.003566879886,1
28.6734176928101,98.5032044809441,134.782833677712,1
45.2454051421028,97.863715331574,135.338595751195,1
48.3448525862546,92.5782411855345,134.689894468763,1
27.5501178107564,67.088528883292,137.964590832513,1
35.7277350685178,97.6512420082147,139.826671264975,1
21.1104594936767,83.8532293607516,137.62055863535,1
27.3788442847648,92.882677347506,140.118403003907,1
27.0800235926987,78.235212424707,136.544456557606,1
14.7680895976646,69.0100820557628,130.838603664902,1
16.4032700029001,71.1404006401668,123.365457659033,1
5.6277517126949,70.0060684268133,123.067323221671,1
19.5716934698576,74.3809449735709,89.2119113326116,1
46.5280483314708,70.6627927250739,93.3375826135959,1
27.2501357874726,63.3896446446267,95.8634730273483,1
8.66886472435439,75.9500865933127,100.782216677593,1
20.2298459830834,76.8314634797032,105.831379803038,1
25.3122047869653,72.0247241015168,113.80182380719,1
27.395082787399,66.3049783071705,110.388736913327,1
35.7713057941571,70.4206992977533,92.6927716241768,1
30.5765777493455,73.6302134234928,78.8801994608404,1
20.8406435630231,64.5364875175568,68.6986065777544,1
39.7481744549809,109.542838919728,113.010813424908,1
51.3084673921517,44.6081249289508,88.422845381011,0
38.653728795111,54.477198820033,94.6735332969833,1
15.593334785876,51.1002517920582,97.4184899874603,1
11.1060361379582,53.6261256282231,71.0294565244169,1
9.80809061233873,46.8160008228717,55.0019560350211,1
37.7978247041439,55.9016665377642,59.6754748073123,1
31.2242057427364,42.0872006547906,53.0177458492365,1
36.9458711183195,45.9423872387001,55.6600730408912,1
18.5820939053661,53.3295938131495,60.8808582201007,1
39.9588023780373,51.7218188919007,67.657109238382,1
12.4179130872712,65.1385605625579,70.4190230221709,1
43.8370276843321,66.9629199072328,73.5493197016288,1
25.9098786853235,53.2304341336185,63.5719035793161,1
37.0323755366573,41.8221091613278,53.5719980348635,1
0,0,0,0
105.400668246528,67.9172915159595,94.7773536005637,0
22.263823427995,73.2020422954534,102.74366624173,1
30.8236835484918,75.4430274939442,119.627264995455,1
81.0874836841453,56.841164827605,123.051349987319,0
73.6765580017555,66.9054421768111,119.045350548082,0
82.6693457238319,56.0423176256317,94.0814095968567,0
72.9872535244724,56.934519822236,86.5859285391991,0
60.2868407312855,52.1447890926731,80.5706101780381,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
59.4388052712758,49.0743139954205,63.7422872712889,0
6.99823793748433,46.4113488342799,46.41134883428,1
24.2364595298821,37.4084754059876,39.2740313079942,1
51.6305480494267,45.5043551714041,54.5468184805122,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
137.434592872448,39.7885360741469,81.9916364773247,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
191.820697096754,56.6694503834289,93.7274540000456,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
90.8854468845639,106.595323417709,110.627083473258,1
95.1737792861731,122.435105546892,145.483493712156,1
64.3965988741059,124.776048401171,168.697371857147,1
24.8108860864069,126.023563063611,165.547425523631,1
26.8901628889172,118.497745141596,163.966549791418,1
71.397169191997,122.025988977104,155.384858435566,1
26.8464236698148,121.298855237885,145.685547407434,1
50.2155050127488,101.794528942243,135.019769775051,1
23.5365932375245,122.507499831139,139.986736031441,1
82.7699996475984,95.2642046844671,112.262833108831,1
65.785247558181,87.3211156120272,115.205220984276,1
135.5184010558,89.980075229361,109.989994461556,0
0,0,0,0
83.1867742337858,73.2298685290246,105.843362642046,0
98.5928576098642,90.7218923957508,109.518020879813,0
0,0,0,0
0,0,0,0
