Distance_Centroid,Rad_max,Rad_out,sel_insideEddy,Datenum
15.4961480726184,42.734430172304,66.7661859398623,1,738259.6383449074
13.2242031406331,42.734430172304,66.7661859398623,1,738259.8797453704
11.6210617904367,42.734430172304,66.7661859398623,1,738260.1171180556
10.4609890328442,42.734430172304,66.7661859398623,1,738260.3570717593
10.1411353401277,42.8735147383704,69.9937885035579,1,738260.5932291667
10.030897428669,42.8735147383704,69.9937885035579,1,738260.8317013889
17.8405157229916,41.0066895198886,70.1335897550966,1,738263.9555441915
10.0646381440979,74.2860311073082,80.5555081532353,1,738266.9431369641
28.4086080421095,65.9652916574046,73.720036819095,1,738269.9487500546
10.4062063002296,74.205656368045,80.3396694567327,1,738272.947326608
33.4203730464862,71.416638923754,88.75227643645,1,738276.1112039674
15.5355450942596,72.342774870518,96.8238967342743,1,738279.1126043911
34.1964743769439,69.2517293043761,102.694468246183,1,738282.111215497
14.9133300976911,82.7982732327423,107.563029877811,1,738285.5547919085
42.6958437306254,89.8177855305454,106.308437677068,1,738288.1098381556
19.3520339901211,85.5564816357192,108.398905167744,1,738291.1112154967
23.1240112352311,94.2879437305115,113.181013336254,1,738294.1139932745
19.2163348706132,78.9727204844434,125.487051556541,1,738297.1195604089
3.36956486361746,78.0722901024038,132.528054267179,1,738300.5561923762
26.9513336914302,85.0838696763593,131.85565240002,1,738303.1237041026
34.677898942582,90.5935919835579,139.176898655925,1,738306.1084838526
5.83002909062898,95.5471860061789,140.530267575702,1,738309.1181715179
38.8199216562933,92.9965305587363,134.144836014316,1,738312.1139932846
5.04645083181545,79.1686139462391,128.003566879886,1,738315.556180797
28.6734176928101,98.5032044809441,134.782833677712,1,738318.1070603783
45.2454051421028,97.863715331574,135.338595751195,1,738321.111215502
48.3448525862546,92.5782411855345,134.689894468763,1,738324.109826608
27.5501178107564,67.088528883292,137.964590832513,1,738327.1112154967
35.7277350685178,97.6512420082147,139.826671264975,1,738330.1098266135
21.1104594936767,83.8532293607516,137.62055863535,1,738333.0964817146
27.3788442847648,92.882677347506,140.118403003907,1,738336.105659945
27.0800235926987,78.235212424707,136.544456557606,1,738339.0936923575
14.7680895976646,69.0100820557628,130.838603664902,1,738342.1237154945
16.4032700029001,71.1404006401668,123.365457659033,1,738345.0895256969
5.6277517126949,70.0060684268133,123.067323221671,1,738348.1251043831
19.5716934698576,74.3809449735709,89.2119113326116,1,738351.090914576
46.5280483314708,70.6627927250739,93.3375826135959,1,738354.1112154953
27.2501357874726,63.3896446446267,95.8634730273483,1,738357.0950812467
8.66886472435439,75.9500865933127,100.782216677593,1,738360.1084377179
20.2298459830834,76.8314634797032,105.831379803038,1,738363.0950928204
25.3122047869653,72.0247241015168,113.80182380719,1,738366.1084492963
27.395082787399,66.3049783071705,110.388736913327,1,738369.0950928207
35.7713057941571,70.4206992977533,92.6927716241768,1,738372.109838184
30.5765777493455,73.6302134234928,78.8801994608404,1,738375.090926154
20.8406435630231,64.5364875175568,68.6986065777544,1,738378.1097805388
39.7481744549809,109.542838919728,113.010813424908,1,738381.0978820554
51.3084673921517,44.6081249289508,88.422845381011,0,738384.1139933278
38.653728795111,54.477198820033,94.6735332969833,1,738386.9527202001
15.593334785876,51.1002517920582,97.4184899874603,1,738389.9841206536
11.1060361379582,53.6261256282231,71.0294565244169,1,738392.9471645849
9.80809061233873,46.8160008228717,55.0019560350211,1,738395.9646762108
37.7978247041439,55.9016665377642,59.6754748073123,1,738398.9527086187
31.2242057427364,42.0872006547906,53.0177458492365,1,738401.973009538
36.9458711183195,45.9423872387001,55.6600730408912,1,738404.9499308402
18.5820939053661,53.3295938131495,60.8808582201007,1,738407.9702317537
39.9588023780373,51.7218188919007,67.657109238382,0,738410.9540975197
12.4179130872712,65.1385605625579,70.4190230221709,1,738413.9827317529
43.8370276843321,66.9629199072328,73.5493197016288,1,738416.9555094925
25.9098786853235,53.2304341336185,63.5719035793161,1,738419.96884287
37.0323755366573,41.8221091613278,53.5719980348635,1,738422.9554979185
0.0,0.0,0.0,0,738425.9716206614
105.400668246528,67.9172915159595,94.7773536005637,0,738428.9596645798
22.263823427995,73.2020422954534,102.74366624173,1,738431.9702317613
30.8236835484918,75.4430274939442,119.627264995455,1,738434.954109019
81.0874836841453,56.841164827605,123.051349987319,0,738437.9716206427
73.6765580017555,66.9054421768111,119.045350548082,0,738440.954097501
82.6693457238319,56.0423176256317,94.0814095968567,0,738443.9716206627
72.9872535244724,56.934519822236,86.5859285391991,0,738446.9485535199
60.2868407312855,52.1447890926731,80.5706101780381,0,738449.9688428647
0.0,0.0,0.0,0,738452.9554979755
0.0,0.0,0.0,0,738455.9688428694
0.0,0.0,0.0,0,738458.9582641711
0.0,0.0,0.0,0,738461.9716206499
0.0,0.0,0.0,0,738464.9540975079
0.0,0.0,0.0,0,738467.989676259
0.0,0.0,0.0,0,738470.9554979652
0.0,0.0,0.0,0,738473.9702202415
0.0,0.0,0.0,0,738476.9527086121
0.0,0.0,0.0,0,738479.9702433279
0.0,0.0,0.0,0,738482.9499308402
0.0,0.0,0.0,0,738485.9716206532
0.0,0.0,0.0,0,738488.9554979758
0.0,0.0,0.0,0,738491.9716206476
59.4388052712758,49.0743139954205,63.7422872712889,0,738494.951678468
6.99823793748433,46.4113488342799,46.41134883428,1,738497.9151622729
24.2364595298821,37.4084754059876,39.2740313079942,1,738500.9586229131
51.6305480494267,45.5043551714041,54.5468184805122,0,738503.9689701851
0.0,0.0,0.0,0,738506.9662039797
0.0,0.0,0.0,0,738509.9731368516
