Datenum,Lon,Lat,Rad_max,Rad_out
738199,14.9974457230946,-32.8870545519993,68.0767751886317,76.139629134704
738200,14.9674987993389,-32.877185852658,61.4196042536372,79.9925049942691
738201,14.9553259040133,-32.8637129791227,61.0471601756903,83.7578363489966
738202,14.9278871217522,-32.8932690155467,68.5179389576996,92.7386667879603
738203,14.9484234805922,-32.9277051946509,67.4447369989908,100.967212157082
738204,15.1341025400123,-32.978442225619,99.1572245349374,105.325878533343
738205,15.1117316422691,-32.9646411111207,102.662882075803,110.328045893264
738206,15.0913769336438,-32.9599759167895,103.667015938702,114.410839844984
738207,15.0356497652632,-32.9055586498473,98.3579329049585,116.430737519127
738208,14.9765263146665,-32.9195610939443,86.3795473485407,114.32922866821
738209,14.9180283641765,-32.9089405326482,75.3988041990183,111.865532126015
738210,14.8956404912611,-32.9024153306977,74.9948751022075,109.501490054839
738211,14.8632156570767,-32.9454923820549,70.0208252500855,107.342545937936
738212,14.8738279169795,-32.8940884994489,79.6571507961018,105.607473886858
738213,14.8611347836605,-32.8853375272471,80.8301412410582,103.821787765609
738214,14.8398867313741,-32.8813401555737,79.6809420481975,102.980618236115
738215,14.8387997188021,-32.8650341980176,85.9362682133366,101.869723437893
738216,14.7992819279433,-32.86958045574,72.592779882965,100.319615572241
738217,14.682277632633,-33.0789686814838,36.9834689632297,98.8001090907662
738218,14.6670976261713,-33.0743352212412,37.2184515658518,102.212754884596
738219,14.6940857388939,-33.0600079415626,37.2678047275293,98.1159283179857
738220,14.6980395699787,-33.0500610107886,38.8342620633613,95.6694424350462
738221,14.6905592651398,-33.0423795096624,39.3249185371609,92.8908717811518
738222,14.647985126623,-33.0322508263716,37.8251811818364,94.3093000924185
738223,14.621494737228,-33.0326433342695,37.4543415206047,92.4895408808721
738224,14.5631541111248,-33.0123636303714,44.4592413111762,92.3023214557031
738225,14.5186082778174,-32.9882681754523,43.5861728472273,92.0929241416493
738226,14.4938122374234,-32.9822326072856,47.1389683151105,90.7168023533579
738227,14.4759963017435,-32.9808126759597,48.2017845430313,89.2724239328372
738228,14.442291539375,-32.9771523153936,48.5373555079916,89.8713681076591
738229,14.4234341021533,-32.9742087284356,50.181089803644,88.1047441704477
