Datenum,Lon,Lat,Rad_max,Rad_out,Vel_Azimuth
738052,16.3426971034417,-32.5828991316084,40.5913398867468,40.591339886747,-0.374183380529008
738053,16.2454929524397,-32.6185284759279,38.8146964393937,46.0155916429817,-0.444768599768262
738054,16.2302959235347,-32.6215706562318,38.7369389234676,49.187712457915,-0.479978502856516
738055,16.2036443434013,-32.6211851496772,37.8121336842114,51.829072676515,-0.503060775445622
738056,16.190272016998,-32.6237378383417,39.5733265347375,54.6494337312506,-0.528317833521441
738057,16.1681889057596,-32.6244211755217,39.0682988441931,55.6058016032416,-0.553810886104275
738058,16.1447402639776,-32.6267806743504,38.8187062618505,57.8667479217348,-0.578389167260325
738059,16.1482505316828,-32.5999553123261,41.083293435568,58.9711697798244,-0.596267777379871
738060,16.0520837017359,-32.5314793980598,35.706999964666,55.6123719548239,-0.540659514028843
738061,16.0341054696159,-32.5084809056157,41.1094118903892,56.8350039654212,-0.55326852612814
738062,16.0021105320733,-32.4962928978807,40.9986777836541,58.7344863492066,-0.570630513572927
738063,15.9244581236497,-32.4799292091261,38.0341813102565,60.4169969274987,-0.551834885621747
738064,15.8244363026307,-32.4086713818473,44.1206380172456,61.4728525284647,-0.455160592057634
738065,15.6850367738678,-32.3419391869937,47.1221649481608,63.1474956328953,-0.455758802666886
738066,15.6055309955652,-32.3164700794892,41.8448819173489,60.9481453529498,-0.484690102617174
738067,15.561659538565,-32.2931386406796,41.7981515372596,59.5006650607329,-0.483455418879724
738068,15.4964243353241,-32.2661753368044,38.9015827938586,60.4162409252546,-0.487837055278325
738069,15.4448023956069,-32.2068989954896,50.1787239238572,62.856014840398,-0.448599225856019
738070,15.3612216275176,-32.1737055804915,46.3948721447951,62.5869692837273,-0.465083861786704
738071,15.3359028553626,-32.1447344079834,52.183498083585,64.1799961016732,-0.481957325070277
738072,15.2574352677265,-32.126220084515,48.1794701604901,63.6486572130028,-0.487405695119533
738073,15.1772207406513,-32.1118684237329,42.3522897412073,65.9155264832682,-0.514381714781577
738074,15.1485687717023,-32.0975984272344,44.2252186461642,65.9511897683666,-0.530822633743482
738075,15.1234236673599,-32.0793387081683,47.4281936472008,66.0938259464835,-0.540424434912464
738076,15.0950195085969,-32.0720911021211,46.1394769178999,66.8361029542153,-0.556721773758473
738077,15.0568425705539,-32.0605231838391,45.2797298076843,67.2381877866337,-0.560548551313746
738078,15.0031521612613,-32.051179555923,44.2153098590733,69.4971833433697,-0.533923258240634
738079,14.9530259038394,-32.0601118806689,38.557687819482,68.926701895971,-0.536062094775602
738080,14.9165275158728,-32.044514654893,41.4960537057699,67.6806682632488,-0.530209578496964
738081,14.8797067393407,-32.034438529181,42.1891138544503,69.2080854041981,-0.519599490899392
