pprojid	profileid	filename	date_time	latitude	longitude	psampleid	depth	watervolume	class01	class02	class03	class04	class05	class06	class07	class08	class09	class10	class11	class12	class13	class14	class15	class16	class18	class19	class20	class21	class22	class23	class24	class25	class26	class27	class28	class29	class30	class31	class32	class33	class34	class35	class36	class37	class38	class39	class40	class41	class42	class43	class44	class45	biovol01	biovol02	biovol03	biovol04	biovol05	biovol06	biovol07	biovol08	biovol09	biovol10	biovol11	biovol12	biovol13	biovol14	biovol15	biovol16	biovol17	biovol18	biovol19	biovol20	biovol21	biovol22	biovol23	biovol24	biovol25	biovol26	biovol27	biovol28	biovol29	biovol30	biovol31	biovol32	biovol33	biovol34	biovol35	biovol36	biovol37	biovol38	biovol39	biovol40	biovol41	biovol42	biovol43	biovol44	biovol45
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	467.5	21.6																	0	0	6512	220	152	75	32	8	2	2	0	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	477.5	22.2																	0	0	6589	210	163	90	21	9	2	2	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	487.5	21.6																	0	0	6371	211	145	93	24	9	3	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	497.5	22.8																	0	0	6773	197	138	91	29	17	3	3	2	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	512.5	27.6																	0	0	8245	205	132	78	33	12	3	0	2	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	532.5	27.6																	0	0	8491	237	179	80	23	10	3	1	0	0	0	1	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	552.5	25.2																	0	0	7614	198	160	94	27	15	3	0	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	572.5	28.8																	0	0	8762	250	153	118	28	16	1	5	0	2	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	592.5	27.6																	0	0	8162	224	160	100	37	11	9	1	2	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	612.5	27.0																	0	0	8357	213	154	93	32	9	10	1	0	1	0	0	0	0	0																																																								
