Project_id	Profile	RAWfilename	Date_Time	Latitude	Longitude	Sample_id	Pressure [dbar]	Vol [L] (sampled for this depth bin)	Part conc frac [#/l] (ESD: 0.001-0.00126 mm)	Part conc frac [#/l] (ESD: 0.00126-0.00159 mm)	Part conc frac [#/l] (ESD: 0.00159-0.002 mm)	Part conc frac [#/l] (ESD: 0.002-0.00252 mm)	Part conc frac [#/l] (ESD: 0.00252-0.00317 mm)	Part conc frac [#/l] (ESD: 0.00317-0.004 mm)	Part conc frac [#/l] (ESD: 0.004-0.00504 mm)	Part conc frac [#/l] (ESD: 0.00504-0.00635 mm)	Part conc frac [#/l] (ESD: 0.00635-0.008 mm)	Part conc frac [#/l] (ESD: 0.008-0.0101 mm)	Part conc frac [#/l] (ESD: 0.0101-0.0127 mm)	Part conc frac [#/l] (ESD: 0.0127-0.016 mm)	Part conc frac [#/l] (ESD: 0.016-0.0202 mm)	Part conc frac [#/l] (ESD: 0.0202-0.0254 mm)	Part conc frac [#/l] (ESD: 0.0254-0.032 mm)	Part conc frac [#/l] (ESD: 0.032-0.0403 mm)	Part conc frac [#/l] (ESD: 0.0508-0.064 mm)	Part conc frac [#/l] (ESD: 0.064-0.0806 mm)	Part conc frac [#/l] (ESD: 0.0806-0.102 mm)	Part conc frac [#/l] (ESD: 0.102-0.128 mm)	Part conc frac [#/l] (ESD: 0.128-0.161 mm)	Part conc frac [#/l] (ESD: 0.161-0.203 mm)	Part conc frac [#/l] (ESD: 0.203-0.256 mm)	Part conc frac [#/l] (ESD: 0.256-0.323 mm)	Part conc frac [#/l] (ESD: 0.323-0.406 mm)	Part conc frac [#/l] (ESD: 0.406-0.512 mm)	Part conc frac [#/l] (ESD: 0.512-0.645 mm)	Part conc frac [#/l] (ESD: 0.645-0.813 mm)	Part conc frac [#/l] (ESD: 0.813-1.02 mm)	Part conc frac [#/l] (ESD: 1.02-1.29 mm)	Part conc frac [#/l] (ESD: 1.29-1.63 mm)	Part conc frac [#/l] (ESD: 1.63-2.05 mm)	Part conc frac [#/l] (ESD: 2.05-2.58 mm)	Part conc frac [#/l] (ESD: 2.58-3.25 mm)	Part conc frac [#/l] (ESD: 3.25-4.1 mm)	Part conc frac [#/l] (ESD: 4.1-5.16 mm)	Part conc frac [#/l] (ESD: 5.16-6.5 mm)	Part conc frac [#/l] (ESD: 6.5-8.19 mm)	Part conc frac [#/l] (ESD: 8.19-10.3 mm)	Part conc frac [#/l] (ESD: 10.3-13 mm)	Part conc frac [#/l] (ESD: 13-16.4 mm)	Part conc frac [#/l] (ESD: 16.4-20.6 mm)	Part conc frac [#/l] (ESD: 20.6-26 mm)	Part conc frac [#/l] (ESD: >26 mm)	Biovolume [mm3 l-1] (ESD: 0.001-0.00126 mm)	Biovolume [mm3 l-1] (ESD: 0.00126-0.00159 mm)	Biovolume [mm3 l-1] (ESD: 0.00159-0.002 mm)	Biovolume [mm3 l-1] (ESD: 0.002-0.00252 mm)	Biovolume [mm3 l-1] (ESD: 0.00252-0.00317 mm)	Biovolume [mm3 l-1] (ESD: 0.00317-0.004 mm)	Biovolume [mm3 l-1] (ESD: 0.004-0.00504 mm)	Biovolume [mm3 l-1] (ESD: 0.00504-0.00635 mm)	Biovolume [mm3 l-1] (ESD: 0.00635-0.008 mm)	Biovolume [mm3 l-1] (ESD: 0.008-0.0101 mm)	Biovolume [mm3 l-1] (ESD: 0.0101-0.0127 mm)	Biovolume [mm3 l-1] (ESD: 0.0127-0.016 mm)	Biovolume [mm3 l-1] (ESD: 0.016-0.0202 mm)	Biovolume [mm3 l-1] (ESD: 0.0202-0.0254 mm)	Biovolume [mm3 l-1] (ESD: 0.0254-0.032 mm)	Biovolume [mm3 l-1] (ESD: 0.032-0.0403 mm)	Biovolume [mm3 l-1] (ESD: 0.0403-0.0508 mm)	Biovolume [mm3 l-1] (ESD: 0.0508-0.064 mm)	Biovolume [mm3 l-1] (ESD: 0.064-0.0806 mm)	Biovolume [mm3 l-1] (ESD: 0.0806-0.102 mm)	Biovolume [mm3 l-1] (ESD: 0.102-0.128 mm)	Biovolume [mm3 l-1] (ESD: 0.128-0.161 mm)	Biovolume [mm3 l-1] (ESD: 0.161-0.203 mm)	Biovolume [mm3 l-1] (ESD: 0.203-0.256 mm)	Biovolume [mm3 l-1] (ESD: 0.256-0.323 mm)	Biovolume [mm3 l-1] (ESD: 0.323-0.406 mm)	Biovolume [mm3 l-1] (ESD: 0.406-0.512 mm)	Biovolume [mm3 l-1] (ESD: 0.512-0.645 mm)	Biovolume [mm3 l-1] (ESD: 0.645-0.813 mm)	Biovolume [mm3 l-1] (ESD: 0.813-1.02 mm)	Biovolume [mm3 l-1] (ESD: 1.02-1.29 mm)	Biovolume [mm3 l-1] (ESD: 1.29-1.63 mm)	Biovolume [mm3 l-1] (ESD: 1.63-2.05 mm)	Biovolume [mm3 l-1] (ESD: 2.05-2.58 mm)	Biovolume [mm3 l-1] (ESD: 2.58-3.25 mm)	Biovolume [mm3 l-1] (ESD: 3.25-4.1 mm)	Biovolume [mm3 l-1] (ESD: 4.1-5.16 mm)	Biovolume [mm3 l-1] (ESD: 5.16-6.5 mm)	Biovolume [mm3 l-1] (ESD: 6.5-8.19 mm)	Biovolume [mm3 l-1] (ESD: 8.19-10.3 mm)	Biovolume [mm3 l-1] (ESD: 10.3-13 mm)	Biovolume [mm3 l-1] (ESD: 13-16.4 mm)	Biovolume [mm3 l-1] (ESD: 16.4-20.6 mm)	Biovolume [mm3 l-1] (ESD: 20.6-26 mm)	Biovolume [mm3 l-1] (ESD: >26 mm)
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	97.5	34.2																	0.0	0.0	310.29	21.871	15.819	11.023	3.5673	0.87719	0.67251	0.55556	0.11696	0.05848	0.05848	0.02924	0.02924	0.0	0.02924																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	107.5	17.4																	0.0	0.0	341.78	22.011	16.552	11.897	2.5862	1.5517	0.22989	0.22989	0.22989	0.11494	0.0	0.0	0.0	0.057471	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	117.5	19.2																	0.0	0.0	342.34	19.531	17.448	11.198	2.6042	1.1458	0.41667	0.46875	0.20833	0.10417	0.0	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	127.5	19.8																	0.0	0.0	345.81	23.687	16.263	9.1919	2.5253	0.9596	0.55556	0.25253	0.15152	0.20202	0.050505	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	137.5	18.6																	0.0	0.0	342.26	20.538	14.677	10.43	2.3656	1.1828	0.37634	0.053763	0.053763	0.10753	0.0	0.053763	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	147.5	19.8																	0.0	0.0	361.82	21.313	16.162	10.505	2.5758	1.3131	0.65657	0.20202	0.20202	0.25253	0.050505	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	157.5	21.0																	0.0	0.0	346.1	20.19	14.476	9.9524	2.1429	1.619	0.52381	0.2381	0.19048	0.19048	0.047619	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	167.5	22.2																	0.0	0.0	319.95	14.82	8.0631	4.7297	1.7117	0.36036	0.27027	0.09009	0.18018	0.045045	0.045045	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	177.5	19.8																	0.0	0.0	324.19	14.545	8.0303	4.6465	1.2626	0.35354	0.10101	0.050505	0.15152	0.050505	0.0	0.050505	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	187.5	18.0																	0.0	0.0	340.17	14.778	9.1111	4.2222	1.5556	0.27778	0.27778	0.11111	0.0	0.055556	0.055556	0.0	0.0	0.055556	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	197.5	16.8																	0.0	0.0	341.49	15.774	9.5833	5.0	1.0119	0.41667	0.11905	0.11905	0.059524	0.11905	0.0	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	207.5	17.4																	0.0	0.0	345.0	16.149	8.9655	3.9655	0.4023	0.4023	0.22989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	217.5	18.0																	0.0	0.0	355.56	14.611	9.2778	3.6667	1.1111	0.16667	0.11111	0.0	0.0	0.055556	0.0	0.055556	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	227.5	18.6																	0.0	0.0	355.16	13.763	8.172	3.5484	1.129	0.32258	0.21505	0.0	0.10753	0.053763	0.0	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	237.5	19.2																	0.0	0.0	368.96	16.51	10.052	3.8542	1.1458	0.36458	0.15625	0.10417	0.052083	0.0	0.0	0.052083	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	247.5	19.2																	0.0	0.0	375.52	14.427	7.8646	4.9479	1.1458	0.26042	0.052083	0.0	0.10417	0.052083	0.0	0.0	0.0	0.0	0.0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05T21:20:25	-35.441	7.419	31725	257.5	20.4																	0.0	0.0	356.47	15.098	9.1176	3.8725	0.78431	0.2451	0.19608	0.04902	0.0	0.0	0.04902	0.0	0.0	0.0	0.0																																																								
