Project_id	Profile	RAWfilename	Date_Time	Latitude	Longitude	Sample_id	Pressure [dbar]	Vol [L] (sampled for this depth bin)	Part conc frac [#/l] (ESD: 0.001-0.00126 mm)	Part conc frac [#/l] (ESD: 0.00126-0.00159 mm)	Part conc frac [#/l] (ESD: 0.00159-0.002 mm)	Part conc frac [#/l] (ESD: 0.002-0.00252 mm)	Part conc frac [#/l] (ESD: 0.00252-0.00317 mm)	Part conc frac [#/l] (ESD: 0.00317-0.004 mm)	Part conc frac [#/l] (ESD: 0.004-0.00504 mm)	Part conc frac [#/l] (ESD: 0.00504-0.00635 mm)	Part conc frac [#/l] (ESD: 0.00635-0.008 mm)	Part conc frac [#/l] (ESD: 0.008-0.0101 mm)	Part conc frac [#/l] (ESD: 0.0101-0.0127 mm)	Part conc frac [#/l] (ESD: 0.0127-0.016 mm)	Part conc frac [#/l] (ESD: 0.016-0.0202 mm)	Part conc frac [#/l] (ESD: 0.0202-0.0254 mm)	Part conc frac [#/l] (ESD: 0.0254-0.032 mm)	Part conc frac [#/l] (ESD: 0.032-0.0403 mm)	Part conc frac [#/l] (ESD: 0.0508-0.064 mm)	Part conc frac [#/l] (ESD: 0.064-0.0806 mm)	Part conc frac [#/l] (ESD: 0.0806-0.102 mm)	Part conc frac [#/l] (ESD: 0.102-0.128 mm)	Part conc frac [#/l] (ESD: 0.128-0.161 mm)	Part conc frac [#/l] (ESD: 0.161-0.203 mm)	Part conc frac [#/l] (ESD: 0.203-0.256 mm)	Part conc frac [#/l] (ESD: 0.256-0.323 mm)	Part conc frac [#/l] (ESD: 0.323-0.406 mm)	Part conc frac [#/l] (ESD: 0.406-0.512 mm)	Part conc frac [#/l] (ESD: 0.512-0.645 mm)	Part conc frac [#/l] (ESD: 0.645-0.813 mm)	Part conc frac [#/l] (ESD: 0.813-1.02 mm)	Part conc frac [#/l] (ESD: 1.02-1.29 mm)	Part conc frac [#/l] (ESD: 1.29-1.63 mm)	Part conc frac [#/l] (ESD: 1.63-2.05 mm)	Part conc frac [#/l] (ESD: 2.05-2.58 mm)	Part conc frac [#/l] (ESD: 2.58-3.25 mm)	Part conc frac [#/l] (ESD: 3.25-4.1 mm)	Part conc frac [#/l] (ESD: 4.1-5.16 mm)	Part conc frac [#/l] (ESD: 5.16-6.5 mm)	Part conc frac [#/l] (ESD: 6.5-8.19 mm)	Part conc frac [#/l] (ESD: 8.19-10.3 mm)	Part conc frac [#/l] (ESD: 10.3-13 mm)	Part conc frac [#/l] (ESD: 13-16.4 mm)	Part conc frac [#/l] (ESD: 16.4-20.6 mm)	Part conc frac [#/l] (ESD: 20.6-26 mm)	Part conc frac [#/l] (ESD: >26 mm)	Biovolume [mm3 l-1] (ESD: 0.001-0.00126 mm)	Biovolume [mm3 l-1] (ESD: 0.00126-0.00159 mm)	Biovolume [mm3 l-1] (ESD: 0.00159-0.002 mm)	Biovolume [mm3 l-1] (ESD: 0.002-0.00252 mm)	Biovolume [mm3 l-1] (ESD: 0.00252-0.00317 mm)	Biovolume [mm3 l-1] (ESD: 0.00317-0.004 mm)	Biovolume [mm3 l-1] (ESD: 0.004-0.00504 mm)	Biovolume [mm3 l-1] (ESD: 0.00504-0.00635 mm)	Biovolume [mm3 l-1] (ESD: 0.00635-0.008 mm)	Biovolume [mm3 l-1] (ESD: 0.008-0.0101 mm)	Biovolume [mm3 l-1] (ESD: 0.0101-0.0127 mm)	Biovolume [mm3 l-1] (ESD: 0.0127-0.016 mm)	Biovolume [mm3 l-1] (ESD: 0.016-0.0202 mm)	Biovolume [mm3 l-1] (ESD: 0.0202-0.0254 mm)	Biovolume [mm3 l-1] (ESD: 0.0254-0.032 mm)	Biovolume [mm3 l-1] (ESD: 0.032-0.0403 mm)	Biovolume [mm3 l-1] (ESD: 0.0403-0.0508 mm)	Biovolume [mm3 l-1] (ESD: 0.0508-0.064 mm)	Biovolume [mm3 l-1] (ESD: 0.064-0.0806 mm)	Biovolume [mm3 l-1] (ESD: 0.0806-0.102 mm)	Biovolume [mm3 l-1] (ESD: 0.102-0.128 mm)	Biovolume [mm3 l-1] (ESD: 0.128-0.161 mm)	Biovolume [mm3 l-1] (ESD: 0.161-0.203 mm)	Biovolume [mm3 l-1] (ESD: 0.203-0.256 mm)	Biovolume [mm3 l-1] (ESD: 0.256-0.323 mm)	Biovolume [mm3 l-1] (ESD: 0.323-0.406 mm)	Biovolume [mm3 l-1] (ESD: 0.406-0.512 mm)	Biovolume [mm3 l-1] (ESD: 0.512-0.645 mm)	Biovolume [mm3 l-1] (ESD: 0.645-0.813 mm)	Biovolume [mm3 l-1] (ESD: 0.813-1.02 mm)	Biovolume [mm3 l-1] (ESD: 1.02-1.29 mm)	Biovolume [mm3 l-1] (ESD: 1.29-1.63 mm)	Biovolume [mm3 l-1] (ESD: 1.63-2.05 mm)	Biovolume [mm3 l-1] (ESD: 2.05-2.58 mm)	Biovolume [mm3 l-1] (ESD: 2.58-3.25 mm)	Biovolume [mm3 l-1] (ESD: 3.25-4.1 mm)	Biovolume [mm3 l-1] (ESD: 4.1-5.16 mm)	Biovolume [mm3 l-1] (ESD: 5.16-6.5 mm)	Biovolume [mm3 l-1] (ESD: 6.5-8.19 mm)	Biovolume [mm3 l-1] (ESD: 8.19-10.3 mm)	Biovolume [mm3 l-1] (ESD: 10.3-13 mm)	Biovolume [mm3 l-1] (ESD: 13-16.4 mm)	Biovolume [mm3 l-1] (ESD: 16.4-20.6 mm)	Biovolume [mm3 l-1] (ESD: 20.6-26 mm)	Biovolume [mm3 l-1] (ESD: >26 mm)	Depth [m]	Potential density [kg/m3]	Temperature [degrees Celsius]	Practical salinity [psu]	Doxy [micromol/kg]	Chlorophyll-a [mg/m3]	bbp POC [mgC/m3]	diffPSD slope	diffPSD slope stde
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	652.5	27.6																	0.0	0.0	309.78	9.6739	7.2826	3.913	1.5942	0.25362	0.072464	0.21739	0.036232	0.0	0.036232	0.036232	0.0	0.0	0.0																																																									646.7552	1027.193	4.663196	34.334736	207.97256	-0.00013192254	0.0	-4.28	0.454
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	672.5	27.6																	0.0	0.0	318.55	10.58	7.3913	3.913	1.2319	0.50725	0.18116	0.072464	0.036232	0.0	0.0	0.0	0.0	0.0	0.0																																																									666.5471	1027.2026	4.592234	34.336758	206.49496	-0.0022966287	0.0	-5.37	0.404
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	692.5	25.8																	0.0	0.0	324.07	10.116	6.7442	3.7984	1.124	0.73643	0.15504	0.11628	0.0	0.03876	0.0	0.0	0.0	0.0	0.0																																																									686.3372	1027.2157	4.499452	34.340256	205.02011	-0.0073	0.0	-4.91	0.453
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	712.5	27.0																	0.0	0.0	317.48	10.333	6.6667	4.7037	0.92593	0.66667	0.22222	0.14815	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																									706.12524	1027.2233	4.449039	34.34274	203.90086	0.0	0.0	-5.18	0.572
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	732.5	26.4																	0.0	0.0	316.44	11.098	6.7045	4.6591	1.7045	0.45455	0.37879	0.11364	0.11364	0.0	0.0	0.0	0.0	0.0	0.0																																																									725.9116	1027.2384	4.3260083	34.345	202.61626	-0.00365	0.0	-4.86	0.462
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	752.5	28.2																	0.0	0.0	303.94	9.8227	6.3121	3.6879	1.0993	0.31915	0.1773	0.14184	0.0	0.035461	0.0	0.0	0.0	0.0	0.0																																																									745.696	1027.25	4.23	34.346527	201.92911	-0.0025636938	0.0	-4.9	0.461
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	772.5	28.2																	0.0	0.0	299.29	8.7589	6.4184	4.539	0.99291	0.39007	0.31915	0.14184	0.0	0.035461	0.0	0.0	0.0	0.0	0.0																																																									765.47845	1027.2578	4.1625266	34.34725	201.18597	-0.0023767406	0.0	-4.81	0.452
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	792.5	27.6																	0.0	0.0	308.15	8.3333	5.6884	3.7681	1.1232	0.9058	0.25362	0.036232	0.072464	0.0	0.036232	0.0	0.0	0.0	0.0																																																									785.2591	1027.2751	4.041382	34.352962	198.38806	0.0	0.0	-4.65	0.459
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	812.5	25.8																	0.0	0.0	299.26	7.8295	4.9612	3.4109	1.3178	0.31008	0.34884	0.11628	0.077519	0.0	0.0	0.0	0.0	0.0	0.0																																																									805.0379	1027.2903	3.9799268	34.363922	196.37743	-0.002737519	0.0	-4.84	0.506
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	832.5	28.2																	0.0	0.0	300.43	7.1277	4.9645	3.5106	1.3475	0.46099	0.21277	0.0	0.035461	0.0	0.0	0.0	0.0	0.0	0.0																																																									824.8147	1027.2993	3.9209127	34.367443	195.35468	-0.0017401109	0.0	-5.2	0.552
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	852.5	27.0																	0.0	0.0	296.56	7.6667	6.7037	3.4444	1.5185	0.66667	0.11111	0.14815	0.074074	0.0	0.0	0.0	0.0	0.0	0.0																																																									844.58966	1027.3091	3.8846343	34.374756	193.52751	0.0017033136	0.0	-4.94	0.505
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	872.5	25.8																	0.0	0.0	297.29	8.0233	5.4264	3.9535	1.3953	0.65891	0.27132	0.03876	0.03876	0.03876	0.03876	0.0	0.0	0.0	0.0																																																									864.36285	1027.3217	3.796983	34.37925	191.6341	0.00038829687	0.0	-4.62	0.398
356	ensuse001b-034-02-ASC	ensuse001b-034-02-ASC_000101LP_DEPTH_LPM.txt	2021-08-30T21:23:25	-35.263	6.812	31705	892.5	24.6																	0.0	0.0	310.81	7.7642	5.6911	3.1707	1.2602	0.4878	0.1626	0.04065	0.0	0.0	0.0	0.04065	0.0	0.0	0.0																																																									884.13403	1027.3392	3.7542975	34.395763	188.60374	0.0	0.0	-4.3	0.578
