RAWfilename	Latitude	Longitude	Date_Time	Pressure [dbar]	Vol [L] (sampled for this depth bin)	MiP_abun	MaP_abun	Mip_POC_cont_mgC_m3	Map_POC_cont_mgC_m3	Flux_mgC_m2	Respi_nmolO2_l_h	Temperature [degrees Celsius]	Practical salinity [psu]	Doxy [micromol/kg]	Chlorophyll-a [mg/m3]	bbp700 [m-1]
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	137.5	18.6	49.624	0.16129	0.79318	0.0025781	3.9097	2.5628	15.364296	35.488758	234.62665	0.19538935	0.0006343982
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	147.5	19.8	52.727	0.30303	0.84279	0.0048437	4.2591	2.9386	15.285059	35.471085	223.80893	0.16608112	0.0006287187
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	157.5	21.0	49.142	0.2381	0.78548	0.0038058	3.9204	2.5988	14.569736	35.33686	199.5692	0.06971055	0.0004252071
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	167.5	22.2	30.045	0.09009	0.48024	0.00144	2.0676	1.3077	12.997156	35.09503	189.83731	0.0	0.000333432
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	177.5	19.8	28.989	0.10101	0.46336	0.0016145	1.9611	1.2002	12.560012	35.046375	183.98474	-0.0033181636	0.00033418948
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	187.5	18.0	30.334	0.16667	0.48485	0.002664	2.0979	1.3106	11.70545	34.945797	179.81837	0.003040215	0.000380786
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	197.5	16.8	32.024	0.11905	0.51187	0.0019029	2.1921	1.1556	11.521659	34.918163	178.32607	0.0	0.00038459283
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	207.5	17.4	30.114	0.0	0.48135	0.0	1.8635	0.88614	10.658182	34.83503	180.33508	-0.0072999997	0.000413819
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	217.5	18.0	28.944	0.11111	0.46264	0.001776	1.9274	0.92938	10.212522	34.789673	181.37875	-0.00365	0.00047151692
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	227.5	18.6	27.15	0.053763	0.43396	0.00085934	1.8078	0.86285	9.978269	34.765457	182.49988	0.0	0.00044059884
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	237.5	19.2	32.187	0.052083	0.51447	0.00083249	2.1057	0.99094	9.571793	34.72333	186.01459	-0.0011890042	0.00040994288
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	247.5	19.2	28.698	0.052083	0.4587	0.00083249	1.9251	0.84826	9.190392	34.683605	189.41151	-0.00058400223	0.00041807874
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	257.5	20.4	29.363	0.04902	0.46933	0.00078353	1.9099	0.8125	8.816253	34.64196	191.40417	-0.0073	0.0003780109
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	267.5	20.4	31.078	0.14706	0.49675	0.0023506	2.0473	0.93798	8.553746	34.61647	190.31766	-0.0065699555	0.0004429847
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	277.5	21.0	33.334	0.0	0.5328	0.0	2.0714	0.8263	8.3096075	34.591896	191.21135	-0.00365	0.00041663388
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	287.5	23.4	30.855	0.12821	0.49318	0.0020492	2.184	0.96556	8.118187	34.571045	191.16798	-0.00365	0.00039491532
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	297.5	24.0	31.125	0.083334	0.49749	0.001332	2.096	0.92405	7.953382	34.5565	191.50847	-0.0020277917	0.0004054543
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	307.5	21.6	30.556	0.0	0.4884	0.0	2.1498	0.79625	7.7981644	34.541313	191.86827	-0.00365	0.00040185568
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	317.5	23.4	30.556	0.08547	0.4884	0.0013661	2.0414	0.81576	7.699574	34.532654	193.15535	-0.0050469153	0.00041975736
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	327.5	23.4	29.615	0.0	0.47337	0.0	2.0072	0.7675	7.52879	34.51659	197.1264	-0.005152941	0.0004273527
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	337.5	22.8	28.026	0.04386	0.44797	0.00070105	1.8727	0.72394	7.3434997	34.496605	199.56604	-0.006377008	0.00038602916
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	347.5	22.8	28.772	0.04386	0.45988	0.00070105	2.1537	0.84571	7.228287	34.486423	199.54561	-0.0041011265	0.00039482507
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	357.5	21.6	26.574	0.0	0.42476	0.0	1.8718	0.6717	7.0866942	34.474308	201.81752	-0.00011901718	0.00039762625
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	367.5	21.6	29.63	0.18518	0.4736	0.00296	1.9521	0.96502	6.918548	34.45885	206.02704	-0.00047609117	0.00036927866
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	377.5	22.2	28.739	0.0	0.45936	0.0	2.0316	0.70781	6.688624	34.436344	209.91422	-0.0073	0.00032534637
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	387.5	21.6	24.213	0.092592	0.38701	0.00148	1.8409	0.66543	6.3155284	34.39412	215.21536	-0.006436556	0.00037943863
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	397.5	21.0	25.619	0.14286	0.40949	0.0022835	1.9888	0.72791	6.0220704	34.35626	221.26965	-0.00365	0.0003310552
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	407.5	21.0	26.476	0.0	0.42319	0.0	1.7791	0.62181	5.83328	34.333714	223.11646	-0.0049427054	0.00033475063
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	417.5	23.4	24.102	0.08547	0.38525	0.0013661	1.7449	0.6091	5.7340283	34.324966	223.28276	-0.0055876547	0.00030551717
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	427.5	24.6	26.585	0.0813	0.42494	0.0012995	1.8984	0.77147	5.7242465	34.327034	222.76395	-0.0011732163	0.0003318717
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	437.5	22.2	26.532	0.09009	0.42408	0.00144	2.0977	0.71498	5.6723213	34.32377	222.12674	-0.00612529	0.0003270528
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	447.5	22.2	23.828	0.09009	0.38087	0.00144	1.6829	0.66401	5.630174	34.32777	218.5446	-0.0038505495	0.0003687881
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	457.5	22.2	23.423	0.045045	0.37439	0.00071999	1.7611	0.64033	5.640349	34.342274	218.07803	-0.000320874	0.00035827182
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	467.5	21.6	24.444	0.0	0.39071	0.0	1.7729	0.57308	5.5747237	34.336884	219.27332	-0.006778575	0.00034369295
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	477.5	21.6	24.213	0.092592	0.38702	0.00148	1.8471	0.73594	5.4213777	34.32021	222.3551	-0.004513444	0.00038956822
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	487.5	21.6	21.852	0.046296	0.34928	0.00073999	1.6061	0.57985	5.1954107	34.29587	223.98854	-0.0073	0.00036705137
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	497.5	21.6	21.25	0.0	0.33966	0.0	1.6061	0.52409	5.101059	34.29194	220.91356	-0.0059409565	0.00034054535
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	512.5	25.2	22.499	0.0	0.35963	0.0	1.6308	0.52331	5.2062397	34.324112	215.21605	-0.00365	0.00035709247
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	532.5	25.8	24.187	0.0	0.3866	0.0	1.8619	0.56235	4.9764695	34.308754	219.49121	-0.00034947667	0.00035365508
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	552.5	24.0	26.833	0.083334	0.4289	0.001332	2.1238	0.652	4.7659082	34.2912	222.04773	-0.004264359	0.00028541932
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	572.5	24.6	22.602	0.0	0.36127	0.0	1.6272	0.47747	4.6364336	34.279617	223.66061	-0.0042896946	0.0003030255
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	592.5	24.6	22.683	0.0	0.36256	0.0	1.8333	0.53769	4.4869895	34.267227	223.9935	-0.0008193934	0.00027559078
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	612.5	25.2	20.119	0.039683	0.32158	0.00063429	1.5885	0.49448	4.411483	34.269764	222.3375	-0.00365	0.00029355168
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	632.5	29.4	19.592	0.034014	0.31315	0.00054368	1.4614	0.47091	4.335405	34.27701	217.2489	-0.004953568	0.0002769037
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	652.5	27.6	18.044	0.0	0.28841	0.0	1.3633	0.40818	4.4653893	34.321117	208.72408	-0.0036924316	0.00028465595
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	672.5	27.0	20.667	0.074074	0.33033	0.001184	1.5666	0.48407	4.331324	34.322536	208.23894	-0.0009327728	0.00035924927
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	692.5	25.2	19.206	0.039683	0.30699	0.00063429	1.5091	0.43628	4.231032	34.323467	206.23674	-0.0031608301	0.00026180394
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	712.5	23.4	20.898	0.08547	0.33402	0.0013661	1.7164	0.57192	4.2031527	34.334377	201.21011	-0.00365	0.00027900678
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	732.5	22.8	17.763	0.0	0.28393	0.0	1.4221	0.41337	4.1916695	34.344254	200.33543	-0.0023995317	0.00027629867
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	752.5	21.6	19.074	0.0	0.30488	0.0	1.495	0.41732	4.069021	34.339382	202.41069	-0.0006191938	0.00026989845
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	772.5	21.0	16.333	0.047619	0.26107	0.00076114	1.2136	0.4032	3.9709537	34.336514	201.3725	-0.00365	0.0002829838
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	792.5	21.6	17.454	0.092592	0.27898	0.00148	1.5011	0.47153	3.9258208	34.344	199.41098	-0.00365	0.0002656164
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	812.5	21.6	17.546	0.046296	0.28046	0.00073999	1.4888	0.4397	3.8899934	34.35667	196.30495	-0.00365	0.00026697814
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	832.5	22.8	17.281	0.087719	0.27621	0.0014021	1.4104	0.43283	3.8351314	34.36625	193.18642	-0.00365	0.000259348
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	852.5	22.2	18.829	0.0	0.30096	0.0	1.5327	0.45891	3.800348	34.38557	189.21207	0.0	0.00025923512
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	872.5	23.4	18.419	0.0	0.2944	0.0	1.4883	0.45749	3.7556775	34.39371	188.33769	-0.0029930046	0.00025140087
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	892.5	28.8	20.799	0.069444	0.33244	0.00111	1.7143	0.58279	3.7107465	34.39825	187.98776	0.0047933646	0.0003570631
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	912.5	27.6	19.275	0.0	0.3081	0.0	1.6051	0.46313	3.6294162	34.402496	187.76134	0.0	0.00025574944
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	932.5	29.4	17.041	0.0	0.27238	0.0	1.4614	0.42511	3.569066	34.413082	186.79723	-0.0030416579	0.000268803
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	952.5	28.8	17.153	0.069444	0.27417	0.00111	1.4038	0.42303	3.4155924	34.41224	185.77927	-0.00365	0.0002948813
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	972.5	27.0	17.852	0.037037	0.28534	0.000592	1.3393	0.38152	3.460866	34.43849	181.99301	-0.0003819856	0.00029346815
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	992.5	28.8	20.799	0.069444	0.33244	0.00111	1.6216	0.53654	3.482889	34.45504	179.59717	-0.0071027502	0.00032986052
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	1002.5	17.4	19.655	0.0	0.31416	0.0	1.5951	0.42673	3.4781	34.462	179.30603	0.0015029568	0.00025595241
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	329.3	12.0	30.667	0.083333	0.49017	0.001332	2.2017	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	483.6	12.0	24.416	0.25	0.39027	0.003996	1.857	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	485.9	12.0	21.417	0.0	0.34232	0.0	1.5567	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	354.3	12.0	30.666	0.083333	0.49017	0.001332	2.0905	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	316.2	12.0	28.667	0.25	0.45821	0.003996	1.9014	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	330.0	12.0	32.751	0.0	0.52348	0.0	2.1461	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	327.2	12.0	24.5	0.0	0.39161	0.0	1.7902	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	336.2	12.0	28.834	0.083333	0.46087	0.001332	2.0905	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	330.2	12.0	29.0	0.083333	0.46353	0.001332	2.046	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	329.2	12.0	30.417	0.083333	0.48618	0.001332	2.1905	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	326.2	12.0	29.583	0.083333	0.47286	0.001332	1.9125	0.0					
