date_num,x_centroid,y_centroid,Rmax,Rout,x_argo,y_argo,dist_argo_km,
738165.000,15.685,-32.937,34.596,64.965,NaN,NaN,NaN
738166.000,15.688,-33.039,63.842,67.877,NaN,NaN,NaN
738167.000,15.653,-33.031,58.668,67.228,NaN,NaN,NaN
738168.000,15.668,-33.063,59.839,63.256,NaN,NaN,NaN
738169.000,15.677,-33.096,58.680,62.126,NaN,NaN,NaN
738170.000,15.657,-33.112,59.040,64.282,NaN,NaN,NaN
738171.000,15.652,-33.126,59.598,66.638,NaN,NaN,NaN
738172.000,15.606,-33.122,59.237,69.961,NaN,NaN,NaN
738173.000,15.523,-33.146,50.988,73.090,NaN,NaN,NaN
738174.000,15.497,-33.151,52.425,73.494,NaN,NaN,NaN
738175.000,15.457,-33.156,52.539,73.957,NaN,NaN,NaN
738176.000,15.417,-33.164,54.651,74.534,NaN,NaN,NaN
738177.000,15.367,-33.150,56.232,73.184,NaN,NaN,NaN
738178.000,15.300,-33.147,58.835,68.903,NaN,NaN,NaN
738179.000,15.269,-33.138,61.280,63.801,NaN,NaN,NaN
738180.000,15.201,-33.154,56.858,64.943,NaN,NaN,NaN
738181.000,15.162,-33.141,59.873,67.006,NaN,NaN,NaN
738182.000,15.155,-33.126,60.046,68.722,NaN,NaN,NaN
738183.000,15.130,-33.121,61.458,68.261,NaN,NaN,NaN
738184.000,15.125,-33.097,66.674,71.097,NaN,NaN,NaN
738185.000,15.105,-33.086,70.066,74.696,NaN,NaN,NaN
738186.000,15.093,-33.075,72.297,77.133,NaN,NaN,NaN
738187.000,15.078,-33.068,74.464,79.548,NaN,NaN,NaN
738188.000,15.061,-33.063,74.045,80.677,NaN,NaN,NaN
738189.000,15.039,-33.051,75.382,81.886,NaN,NaN,NaN
738190.000,15.028,-33.005,78.215,82.514,NaN,NaN,NaN
738191.000,15.019,-32.999,77.025,83.104,NaN,NaN,NaN
738192.000,15.019,-32.972,75.809,82.048,NaN,NaN,NaN
738193.000,15.006,-32.959,74.236,80.086,NaN,NaN,NaN
738194.000,15.001,-32.953,72.400,78.132,NaN,NaN,NaN
738195.000,15.009,-32.944,60.692,76.746,NaN,NaN,NaN
738196.000,14.976,-32.933,57.494,77.392,NaN,NaN,NaN
738197.000,14.971,-32.925,58.920,77.818,NaN,NaN,NaN
738198.000,14.967,-32.912,57.394,75.678,NaN,NaN,NaN
738199.000,14.997,-32.887,68.077,76.140,NaN,NaN,NaN
738200.000,14.968,-32.877,61.420,79.995,NaN,NaN,NaN
738201.000,14.955,-32.864,61.048,83.759,NaN,NaN,NaN
738202.000,14.928,-32.893,68.518,92.739,NaN,NaN,NaN
738203.000,14.948,-32.928,67.445,100.972,NaN,NaN,NaN
738204.000,15.134,-32.978,99.157,105.325,NaN,NaN,NaN
738205.000,15.112,-32.965,102.664,110.330,NaN,NaN,NaN
738206.000,15.091,-32.960,103.667,114.411,NaN,NaN,NaN
738207.000,15.036,-32.906,98.358,116.430,NaN,NaN,NaN
738208.000,14.977,-32.920,86.380,114.330,NaN,NaN,NaN
738209.000,14.918,-32.909,75.400,111.867,NaN,NaN,NaN
738210.000,14.896,-32.902,74.996,109.503,NaN,NaN,NaN
738211.000,14.863,-32.945,70.021,107.342,NaN,NaN,NaN
738212.000,14.874,-32.894,79.657,105.608,NaN,NaN,NaN
738213.000,14.861,-32.885,80.830,103.822,NaN,NaN,NaN
738214.000,14.840,-32.881,79.681,102.982,NaN,NaN,NaN
738215.000,14.839,-32.865,85.937,101.871,NaN,NaN,NaN
738216.000,14.799,-32.870,72.592,100.319,NaN,NaN,NaN
738217.000,14.682,-33.079,36.984,98.801,NaN,NaN,NaN
738218.000,14.667,-33.074,37.219,102.213,NaN,NaN,NaN
738219.000,14.694,-33.060,37.268,98.118,NaN,NaN,NaN
738220.000,14.698,-33.050,38.834,95.669,NaN,NaN,NaN
738221.000,14.691,-33.042,39.325,92.890,NaN,NaN,NaN
738222.000,14.648,-33.032,37.825,94.310,NaN,NaN,NaN
